tensorflow,https://github.com/tensorflow/tensorflow/issues/65675,2024-04-14T19:02:53Z,Memory leak in tf.data when iterating over Dataset.from_generator,YES,<tf.data.Dataset.from_generator>,2.13.0,No CUDA version is mentioned in the description.
tensorflow,https://github.com/tensorflow/tensorflow/issues/62927,2024-02-09T05:34:22Z,Error with Custom Keras Model,YES,tf.keras.Model,2.13.0,<No response>
tensorflow,https://github.com/tensorflow/tensorflow/issues/62847,2024-01-25T20:19:45Z,[ tf-opt ] Keras Official Implementation of Stable Diffusion fails to generate stablehlo mlir,YES,"tf.mlir_translate  
tf.opt",2.14.0,_No response_
tensorflow,https://github.com/tensorflow/tensorflow/issues/62808,2024-01-17T22:35:29Z,Convolution much slower when activating JIT compile,YES,<tf.function>,2.14.0,<CUDA version>
tensorflow,https://github.com/tensorflow/tensorflow/issues/62778,2024-01-11T02:23:23Z,Tensorflow numpy_function causes errors when using tf.shape,YES,"<tf.numpy_function>  
<tf.shape>  ",2.13.1,<No response>
tensorflow,https://github.com/tensorflow/tensorflow/issues/62509,2023-11-30T09:59:49Z,Significant Output Discrepancies in `tf.math.reduce_prod + tf.tan` with Extra Transposed Tensor Output,YES,"<tf.math.reduce_prod>
<tf.tan>",2.14.0,_No response_
tensorflow,https://github.com/tensorflow/tensorflow/issues/62504,2023-11-29T19:27:17Z,MemoryError: std::bad_alloc when calling tf.squeeze with a floating tensor axis,YES,tf.squeeze,2.14.0,No CUDA version is mentioned in the provided issue description.
tensorflow,https://github.com/tensorflow/tensorflow/issues/62441,2023-11-20T15:51:19Z,Convolution: CPU memory increase with growing number of different sequence lengths,YES,<tf.nn.convolution>,2.14.0,CUDA V11.8.89
tensorflow,https://github.com/tensorflow/tensorflow/issues/62399,2023-11-14T23:45:40Z,`tf.math.log` thinks that -103 is -inf,YES,tf.math.log,2.12.0,No CUDA version is mentioned in the description.
tensorflow,https://github.com/tensorflow/tensorflow/issues/62280,2023-10-30T12:59:35Z,Different Behavior of tf.raw_ops.Acos with jit_compile=True,YES,<tf.raw_ops.Acos>,2.14.0,11.8
tensorflow,https://github.com/tensorflow/tensorflow/issues/62263,2023-10-28T02:08:02Z,Different Behavior of tf.raw_ops.SqrtGrad with jit_compile=True,YES,<tf.raw_ops.SqrtGrad>,2.14.0,11.8
tensorflow,https://github.com/tensorflow/tensorflow/issues/62220,2023-10-25T07:04:01Z,Different Behavior of tf.raw_ops.Asinh with jit_compile=True,YES,<tf.raw_ops.Asinh>,2.14.0,11.8
