pytorch,https://github.com/pytorch/pytorch/issues/132386,2024-08-01T07:02:52Z,torch cpu float16 range is not aligned with scipy on polygamma.,torch.polygamma,2.5.0,CPU
pytorch,https://github.com/pytorch/pytorch/issues/133163,2024-08-10T11:43:57Z,`torch.load` with `weights_only=True` does not allow `bytes` or `bytearray`,torch.load,2.5.0,CPU
pytorch,https://github.com/pytorch/pytorch/issues/133114,2024-08-09T18:52:59Z,Conv1D: `CUDNN_BACKEND_OPERATION: cudnnFinalize Failed cudnn_status: CUDNN_STATUS_BAD_PARAM`,torch.nn.functional.grad.conv1d_weight,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/133010,2024-08-08T16:21:49Z,torch.multiprocessing.start_processes is blocking with large input arguments,torch.multiprocessing.start_processes,2.5.0,12.2
pytorch,https://github.com/pytorch/pytorch/issues/132857,2024-08-07T11:32:59Z,torch.library.opcheck generates gradients with strides of 0,torch.library.opcheck,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132695,2024-08-05T20:19:16Z,Backward on nested jagged tensor vector multiplication throws error on 0 dim (but not last dim),torch.nested.as_nested_tensor,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132644,2024-08-05T09:40:07Z,`torch.distributed.pipelining` hang and timeout in CPU gloo backend,torch.distributed.pipelining,2.5.0,CPU
pytorch,https://github.com/pytorch/pytorch/issues/132640,2024-08-05T09:13:06Z,CUDA Invalid Memory Access caused by torch.distributed.barrier() with NCCL,torch.distributed.barrier,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132618,2024-08-04T22:11:07Z,Reducing jagged tensor using unbind results in error in torch.compile,torch.compile,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132618,2024-08-04T22:11:07Z,Reducing jagged tensor using unbind results in error in torch.compile,torch.nested.as_nested_tensor,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132618,2024-08-04T22:11:07Z,Reducing jagged tensor using unbind results in error in torch.compile,torch.jagged,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132618,2024-08-04T22:11:07Z,Reducing jagged tensor using unbind results in error in torch.compile,torch.unbind,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132618,2024-08-04T22:11:07Z,Reducing jagged tensor using unbind results in error in torch.compile,torch.sum,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132559,2024-08-02T23:04:39Z,How to fix tensor.numpy() not supported for torch.export with strict=False,torch.export,2.5.0,12
pytorch,https://github.com/pytorch/pytorch/issues/132471,2024-08-02T02:32:50Z,fully_shard with a gloo group segfault,torch.distributed._composable.fsd,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132471,2024-08-02T02:32:50Z,fully_shard with a gloo group segfault,fully_shard,2.5.0,12.1
pytorch,https://github.com/pytorch/pytorch/issues/132360,2024-08-01T00:38:22Z,[AOTI] AOTI doesn't work well with torch.select,torch.select,2.5.0,12
